Buffer radius,fid,Location,Region,Year,ID,FieldSize_ha,Elevation_m,Y,X,sealed,Woody needle leaved trees,Woody broadleaved decidious trees,Low-growing woody,Permanent herbaceous,Periodically herbacious,Non and sparsely vegetated,water
400,1,Fortschwihr,Alsace,2014,S14-01571,2.02,183,48.08278,7.430219,0.449,0.021,12.604,0.000,3.610,83.316,0.000,0.000
400,2,Kraichtal,Baden-Württemberg,2014,S14-01501,2.2,160,49.083644,8.4236,0.000,42.454,56.648,0.107,0.513,0.000,0.000,0.278
400,3,Tubingen,Baden-Württemberg,2014,S14-01570,2.71,476,48.27579,9.014823,23.151,13.745,27.747,0.107,35.250,0.000,0.000,0.000
400,4,Celle,Niedersachsen,2015,S15-01804,1.86,39,52.62950556,10.11790556,20.726,0.085,9.188,0.000,6.410,63.419,0.171,0.000
400,5,Tubingen_2,Baden-Württemberg,2015,S15-01803,2.1,470,48.468327,9.03408,1.946,0.535,44.751,0.299,35.536,16.848,0.000,0.086
400,6,Niefern,Baden-Württemberg,2015,S15-01802,2.32,323,48.90470833,8.799391667,10.733,0.235,10.712,1.411,36.990,39.919,0.000,0.000
800,1,Fortschwihr,Alsace,2014,S14-01571,2.02,183,48.08278,7.430219,0.497,0.016,13.233,0.000,5.759,80.495,0.000,0.000
800,2,Kraichtal,Baden-Württemberg,2014,S14-01501,2.2,160,49.083644,8.4236,0.272,41.537,56.609,0.406,0.823,0.000,0.000,0.353
800,3,Tubingen,Baden-Württemberg,2014,S14-01570,2.71,476,48.27579,9.014823,14.464,16.205,26.111,0.134,41.141,1.801,0.144,0.000
800,4,Celle,Niedersachsen,2015,S15-01804,1.86,39,52.62950556,10.11790556,17.194,1.373,16.879,0.000,15.436,49.001,0.118,0.000
800,5,Tubingen_2,Baden-Württemberg,2015,S15-01803,2.1,470,48.468327,9.03408,0.486,14.255,50.494,0.160,23.618,10.944,0.000,0.043
800,6,Niefern,Baden-Württemberg,2015,S15-01802,2.32,323,48.90470833,8.799391667,16.004,3.146,30.924,2.121,33.472,14.327,0.005,0.000
1200,1,Fortschwihr,Alsace,2014,S14-01571,2.02,183,48.08278,7.430219,3.419,0.021,12.017,0.012,6.736,77.719,0.076,0.000
1200,2,Kraichtal,Baden-Württemberg,2014,S14-01501,2.2,160,49.083644,8.4236,5.534,43.138,49.277,0.480,1.239,0.002,0.085,0.245
1200,3,Tubingen,Baden-Württemberg,2014,S14-01570,2.71,476,48.27579,9.014823,15.449,17.453,26.446,0.157,37.673,2.664,0.159,0.000
1200,4,Celle,Niedersachsen,2015,S15-01804,1.86,39,52.62950556,10.11790556,15.389,3.041,18.164,0.000,18.966,44.203,0.109,0.128
1200,5,Tubingen_2,Baden-Württemberg,2015,S15-01803,2.1,470,48.468327,9.03408,0.273,23.521,47.081,0.076,19.028,9.995,0.007,0.019
1200,6,Niefern,Baden-Württemberg,2015,S15-01802,2.32,323,48.90470833,8.799391667,17.387,8.854,32.552,1.690,28.116,11.377,0.024,0.000
