Study: S15-01803,,,,,
Tuebingen 2015,,,,,
,,,,,
Date,DAE,BBCH control,% of flowers open,Proportional resource availability,Remark
2015-04-23,0,60,5,0.1,Introduction of cocoons: estimated BBCH stage (not reported in study data)
2015-04-26,3,61,10,0.2,
2015-04-29,6,62-65,35,0.7,
2015-05-02,9,62-63,25,0.5,
2015-05-05,12,63-65,40,0.8,
2015-05-08,15,63-65,40,0.8,
2015-05-11,18,65,50,1,
2015-05-13,20,67-69,10,0.2,
2015-05-17,24,69-70,5,0.1,
2015-05-29,36,70,0,0,Last day in tunnel: not reported in the study 
