treatment,tray,tube.1.females,tube.2.females,tube.3.females,tube.4.females,tube.5.females,tube.6.females,tube.7.females,tube.8.females,tube.9.females,tube.10.females,tube.1.total,tube.2.total,tube.3.total,tube.4.total,tube.5.total,tube.6.total,tube.7.total,tube.8.total,tube.9.total,tube.10.total,sum.total.cocoons,sum.female.cocoons
Csa,1,0,0,4,0,1,3,1,3,0,0,1,0,7,1,1,5,6,5,1,0,27,12
Csa,2,0,0,2,1,2,1,2,2,1,0,0,0,3,2,4,6,7,4,3,0,29,11
Csa,3,5,0,0,2,1,1,3,1,0,0,5,0,4,2,5,1,4,6,0,0,27,13
Csa,4,2,0,2,2,1,0,0,2,1,1,3,4,3,3,1,6,1,2,1,1,25,11
Csa,5,0,0,0,4,3,1,1,0,0,0,0,0,0,8,5,7,5,0,0,0,25,9
Csa,6,2,4,0,0,4,3,0,0,0,2,4,5,0,1,5,8,1,0,8,2,34,15
Csa,7,0,0,0,1,1,0,0,0,1,0,2,8,4,4,1,1,4,0,2,2,28,3
Csa,8,0,0,0,1,1,2,3,2,1,0,1,4,1,1,3,4,8,8,3,1,34,10
Csa,9,4,4,4,1,2,4,3,2,2,4,6,5,8,7,3,5,3,7,6,4,54,30
Csa,10,2,0,2,4,3,3,0,3,2,1,7,0,5,8,6,5,2,5,6,1,45,20
