"var","bees.emerged.yr","f.emerged.yr","m.emerged.yr","bees.nesting","sum.cells","sum.f.cells","sum.m.cells"
"a.cell.age",0.0616527676411591,0.0331753048498987,0.0594547392278805,0.00505303198950955,0.0619538040222847,0.0367717405173322,0.059842216620814
"a.cell.resource",-0.818828335425981,-0.736439476948685,-0.786614336553854,0.0105848678698585,-0.830678968012743,-0.770182821417211,-0.801460780699064
"a.sex.age",-0.0154883833124881,0.472322069741867,-0.266379425166329,-0.00599561206537825,-0.0115754530919413,0.519505085825077,-0.27869177340217
"a.sex.resource",0.00848785525488357,-0.274362974159698,0.151208728319548,0.0019913979619143,0.00805128488513013,-0.300227170291865,0.156987295671504
"a.size.age",0.049892832267565,0.032395388530646,0.043838790431932,0.00167315566848126,0.00487437684663731,0.00715316389809841,-7.90306617379422e-05
"a.size.resource",-0.192718467962806,-0.132669092352912,-0.180750939244842,0.00103206510904198,-0.00253747910695858,0.00281232475754379,-0.00423239637905969
"emerged.survival",0.428341146927527,0.320738138990616,0.397318470741157,0.766754190591731,0.448345722248375,0.357479574395485,0.417038538657019
"max.cells",0.719243938454377,0.619928170720797,0.678028414013469,0.00235786322901891,0.734621844687866,0.657944183436407,0.697049919247514
"max.f.ratio",-0.00789317510251692,0.296749063851649,-0.16247794133905,-0.00445433953673472,-0.00792223780152435,0.324162650558859,-0.168900406299847
"max.nesting.life",0.435119583506347,0.240332646836345,0.436539579788387,-0.0058074125849786,0.462563751300583,0.269822911859905,0.466399887554641
"max.survival.e.f",0.383845021778125,0.291502691999733,0.35400385390328,0.439909351284324,0.217193751888839,0.175266512231645,0.197934692845536
"p.max.nesting.life",0.569242800154443,0.354651937159902,0.568728519014099,-0.00545032130407955,0.594049455053983,0.39171763691388,0.596067388917693
"t.maturation",-0.315429428068503,-0.33552696306299,-0.24482014089538,0.0101230755573167,-0.318626251062198,-0.361752506243863,-0.247447441044363
"var.emerge.f",0.327709539077278,0.265060669902188,0.296285829679836,-0.0118352931162197,0.338982432759691,0.291770748325527,0.308116443345818
