"var","bees.emerged.yr","f.emerged.yr","m.emerged.yr","bees.nesting","sum.cells","sum.f.cells","sum.m.cells","f.sex.ratio.emerged"
"a.cell.age",0.043038228395878,0.0296777004908193,0.0455952506795084,0.00463743410021289,0.0496973165590224,0.0319181237140758,0.0506202915004352,-0.0489246221055971
"a.cell.resource",-0.0180791232882653,-0.014265208227876,-0.0154841715058594,-0.00755010616986542,-0.01720525866748,-0.0131463167311809,-0.0157315797621862,0.0225789608675625
"a.sex.age",-0.00167821880601734,0.421535297789116,-0.315314978098012,-0.00226373747780854,-0.00353020492250716,0.450282766255021,-0.326497915210287,0.7383315146237
"a.sex.resource",-0.016310548245886,-0.0191496913284589,-0.00796641227289379,-0.00100700391263001,-0.0127009079798595,-0.0128968761888559,-0.00681763465372943,-0.00541547618274385
"a.size.age",0.0548150332067651,0.0338706391680823,0.0619813807713262,-0.00239042446291287,0.00772523772318574,0.00670063010065275,0.0118117715690935,-0.0539918308701164
"a.size.resource",-0.00100651022388274,0.0054461963282525,-0.000801854434840696,0.00576345680846143,-0.00180615943825161,0.00528120907523645,-0.00276730689753418,0.00729895338448386
"emerged.survival",0.529441273503994,0.528645740599837,0.450219427927488,0.724730266027715,0.539371581949858,0.545939422259651,0.457740324769754,-0.0126106315638814
"max.cells",0.858813044258186,0.86155603712644,0.789694940487522,-0.00121398535499308,0.86636773395909,0.872616837477954,0.797521305005007,0.0357766631379172
"max.f.ratio",8.68049834092008e-05,0.818851695030715,-0.683589522911468,0.000966412293525921,-0.000325633404404461,0.832806700343314,-0.685894297398211,0.959973706819238
"max.nesting.life",0.422702776322952,0.24128399961901,0.46456537651282,-0.00479399123096651,0.438558752176346,0.251783308499568,0.481996023629811,-0.458730777168122
"max.survival.e.f",0.792026451498233,0.792693094381457,0.71100156063412,0.738656990669685,0.548476277213706,0.553387117964647,0.453682071377288,0.00403716620165452
"p.max.nesting.life",0.583717833662731,0.401140380080496,0.609954891502944,-0.00776239217210474,0.604866347362383,0.42440729668926,0.626010778917722,-0.548529808839751
"t.maturation",0.0136745526998465,0.0256312159322564,0.0113223002876332,0.0111462365827944,0.0122713113207969,0.0269175146676093,0.00785797023305764,0.0123764467196726
"var.emerge.f",-0.000300714938706802,0.00103252510376682,0.000862442979107973,0.0131689465515543,-0.00128525050238183,-0.00485055681735812,0.00316474337417972,0.00315440611305401
