date,treatment,sum.female.cocoons,cum.female.cocoons,sum.male.cocoons,cum.male.cocoons,sum.total.cocoons,cum.total.cocoons
4/21/2019,Ca,1,1,2,2,3,3
4/24/2019,Ca,4,5,4,6,8,11
4/27/2019,Ca,6,11,16,22,22,33
4/30/2019,Ca,4,15,10,32,14,47
5/3/2019,Ca,16,31,26,58,42,89
5/6/2019,Ca,1,32,1,59,2,91
5/9/2019,Ca,5,37,13,72,18,109
5/12/2019,Ca,6,43,35,107,41,150
5/15/2019,Ca,15,58,63,170,78,228
5/18/2019,Ca,7,65,51,221,58,286
4/21/2019,Cb,1,1,0,0,1,1
4/24/2019,Cb,5,6,3,3,8,9
4/27/2019,Cb,7,13,6,9,13,22
4/30/2019,Cb,9,22,13,22,22,44
5/3/2019,Cb,8,30,37,59,45,89
5/6/2019,Cb,0,30,3,62,3,92
5/9/2019,Cb,4,34,22,84,26,118
5/12/2019,Cb,8,42,23,107,31,149
5/15/2019,Cb,18,60,43,150,61,210
5/18/2019,Cb,12,72,27,177,39,249
4/21/2019,Cc,1,1,1,1,2,2
4/24/2019,Cc,6,7,3,4,9,11
4/27/2019,Cc,10,17,7,11,17,28
4/30/2019,Cc,8,25,18,29,26,54
5/3/2019,Cc,15,40,22,51,37,91
5/6/2019,Cc,0,40,0,51,0,91
5/9/2019,Cc,5,45,17,68,22,113
5/12/2019,Cc,10,55,40,108,50,163
5/15/2019,Cc,17,72,58,166,75,238
5/18/2019,Cc,9,81,49,215,58,296
4/21/2019,Cd,0,0,2,2,2,2
4/24/2019,Cd,2,2,3,5,5,7
4/27/2019,Cd,5,7,5,10,10,17
4/30/2019,Cd,6,13,14,24,20,37
5/3/2019,Cd,16,29,23,47,39,76
5/6/2019,Cd,1,30,1,48,2,78
5/9/2019,Cd,1,31,11,59,12,90
5/12/2019,Cd,9,40,21,80,30,120
5/15/2019,Cd,5,45,33,113,38,158
5/18/2019,Cd,2,47,38,151,40,198
4/21/2019,Ce,0,0,0,0,0,0
4/24/2019,Ce,4,4,1,1,5,5
4/27/2019,Ce,7,11,12,13,19,24
4/30/2019,Ce,7,18,14,27,21,45
5/3/2019,Ce,15,33,37,64,52,97
5/6/2019,Ce,0,33,1,65,1,98
5/9/2019,Ce,0,33,24,89,24,122
5/12/2019,Ce,11,44,37,126,48,170
5/15/2019,Ce,10,54,49,175,59,229
5/18/2019,Ce,9,63,39,214,48,277
4/21/2019,Cf,2,2,0,0,2,2
4/24/2019,Cf,2,4,0,0,2,4
4/27/2019,Cf,12,16,4,4,16,20
4/30/2019,Cf,6,22,8,12,14,34
5/3/2019,Cf,14,36,30,42,44,78
5/6/2019,Cf,1,37,1,43,2,80
5/9/2019,Cf,5,42,13,56,18,98
5/12/2019,Cf,6,48,35,91,41,139
5/15/2019,Cf,8,56,64,155,72,211
5/18/2019,Cf,18,74,50,205,68,279
4/21/2019,Ra,0,0,0,0,0,0
4/24/2019,Ra,3,3,0,0,3,3
4/27/2019,Ra,1,4,3,3,4,7
4/30/2019,Ra,1,5,2,5,3,10
5/3/2019,Ra,1,6,2,7,3,13
5/6/2019,Ra,0,6,0,7,0,13
5/9/2019,Ra,0,6,1,8,1,14
5/12/2019,Ra,0,6,7,15,7,21
5/15/2019,Ra,4,10,13,28,17,38
5/18/2019,Ra,24,34,3,31,27,65
4/21/2019,Rb,0,0,5,5,5,5
4/24/2019,Rb,2,2,4,9,6,11
4/27/2019,Rb,1,3,1,10,2,13
4/30/2019,Rb,1,4,0,10,1,14
5/3/2019,Rb,3,7,4,14,7,21
5/6/2019,Rb,0,7,0,14,0,21
5/9/2019,Rb,0,7,2,16,2,23
5/12/2019,Rb,1,8,6,22,7,30
5/15/2019,Rb,3,11,20,42,23,53
5/18/2019,Rb,4,15,39,81,43,96
4/21/2019,Rc,0,0,0,0,0,0
4/24/2019,Rc,1,1,0,0,1,1
4/27/2019,Rc,0,1,0,0,0,1
4/30/2019,Rc,0,1,0,0,0,1
5/3/2019,Rc,0,1,1,1,1,2
5/6/2019,Rc,0,1,0,1,0,2
5/9/2019,Rc,0,1,0,1,0,2
5/12/2019,Rc,1,2,3,4,4,6
5/15/2019,Rc,1,3,6,10,7,13
5/18/2019,Rc,1,4,24,34,25,38
