Date,sum_precip
20. Apr,0
21. Apr,0
22. Apr,0
23. Apr,0.2
24. Apr,0
25. Apr,0
26. Apr,0
27. Apr,0
28. Apr,1.9
29. Apr,4.6
30. Apr,1.7
01. Mai,3.5
02. Mai,1.9
03. Mai,0.2
04. Mai,9.5
05. Mai,9.5
06. Mai,7.7
07. Mai,3.7
08. Mai,0
09. Mai,0
10. Mai,0
11. Mai,6.2
12. Mai,1.5
13. Mai,0
14. Mai,0
15. Mai,1.4
16. Mai,4.1
17. Mai,5.4
18. Mai,6.4
19. Mai,0.4
20. Mai,0
21. Mai,0
22. Mai,3.5
23. Mai,1.2
24. Mai,0.2
25. Mai,0.2
26. Mai,3.1
27. Mai,0.2
28. Mai,0
29. Mai,0
30. Mai,0
31. Mai,0
01. Jun,0
02. Jun,0
03. Jun,0
04. Jun,0
05. Jun,2.5
06. Jun,4.4
07. Jun,0.2
08. Jun,0
09. Jun,0.6
10. Jun,0.2
11. Jun,0
12. Jun,0
13. Jun,0
14. Jun,0
15. Jun,0
16. Jun,0
17. Jun,0
18. Jun,0
19. Jun,28.4
20. Jun,14.5
21. Jun,0.2
22. Jun,0.8
23. Jun,1.5
24. Jun,17.4
25. Jun,12.4
26. Jun,0
27. Jun,0
28. Jun,13.5
29. Jun,12
30. Jun,8.1
01. Jul,2.1
02. Jul,0
03. Jul,0
04. Jul,14.7
05. Jul,1.2
06. Jul,8.9
07. Jul,0.2
08. Jul,12.2
09. Jul,2.1
10. Jul,11.8
11. Jul,0.2
12. Jul,0
13. Jul,0
14. Jul,0
